Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,22uF,C2859526
"C10, C11, C7",0603,3,2.2uF,C71000
"C12, C13, C14, C2, C4, C6, C8, C9",0603,8,0.1uF,C30926
"C15, C5",0603,2,12pF,C107034
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2843785
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,PinHeader_1x03_P2.54mm_Vertical,1,GPIO,C429954
J2,1pt3in_OLED,1,I2C Header,N/A
J3,PinHeader_1x03_P2.54mm_Vertical,1,SWD,C429954
J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
J5,PinHeader_1x04_P2.54mm_Vertical,1,USB_Header,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Neopixel,C2894925
JP1,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,1,Pin2,N/A
JP2,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,1,Pin1,N/A
JP3,SW_SPST_FSMSM,1,RUN,C118141
"R1, R3, R6, R8",0603,4,10K,C304415
R2,0603,1,1K,C110774
"R4, R5",0603,2,27R,C861276
R7,0603,1,200R,C8218
SW1,SW_PUSH_6mm,1,Kill_SW,C455090
SW2,EN11_Encoder,1,Rotary_Enc,N/A
U1,AMS1117-3.3,1,AMS1117-3.3,C6186
U2,W25Q16JVUXIQ,1,W25Q16JVUXIQ,C2843335
U3,SOT-23-5,1,74LVC1G17,C6076
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
Y1,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,1,12MHz,C654949
